,pros,contras,rates,contras_en,pros_en
29,Refeição/ alimentação de acordo com a região e uma das melhores,tempo para Eleição dos benefícios Flexíveis,"5,0",time to Election of Flexible benefits,Meal / food according to the region and one of the best
30,"Pacote de benefícios ótimo, ambiente agradável","Poucas chances de crescimento dentro do departamento, falta de reconhecimento","4,0","Little chance of growth within the department, lack of recognition","Great benefits package, nice environment"
31,"Empresa muito parceira, cultura boa, bons salários e benefícios.","Não vejo nenhum contra, amo trabalhar aqui e não sairia de jeito nenhum.","5,0","I don't see any cons, I love working here and I wouldn't leave at all.","Very partner company, good culture, good wages and benefits."
32,"E uma empresa ótima ! Oferece alguns benefícios, oferece oportunidade para pessoas pretas e membros da comunidade LGBTs. O trabalho em si, e ótimo...","Minha líder trata mal os demais funcionários a todo momento , sendo, um dos motivos que me fez sair no 1°dia ! Meu horário também não era flexível, ainda mais que eu faço faculdade! Entrava as 8:45 AM sai 19:00PM , sendo que a loja fecha às 20:00.","5,0","My leader treats the other employees badly at all times, being one of the reasons that made me leave on the 1st day! My schedule wasn't flexible either, especially since I go to college! It entered at 8:45 AM and left at 19:00 PM, and the store closes at 20:00.","It's a great company! It offers some benefits, offers opportunities for black people and members of the LGBT community. The work itself is great..."
33,"Empresa muito preocupada com o colaborador, excelentes benefícios, equilíbrio com vida pessoal, possibilidade de crescimento e movimentações, colegas bastante qualificados, ambiente informal, bons líderes",Difícil conhecer áreas mais distantes da sua atuação devido empresa ser muito grande,"5,0",Difficult to know more distant areas of its performance due to the company being very large,"Company very concerned with the employee, excellent benefits, balance with personal life, possibility of growth and movement, highly qualified colleagues, informal environment, good leaders"
34,"Benefícios ,fácil acesso,ambiente bom,serviço fácil.","Muito quente,poucos funcionarios,assim sobrecarrega todos.","4,0","Very hot, few employees, so it overloads everyone.","Benefits, easy access, good environment, easy service."
35,"Empresa muito grande com muitas possibiiidades de aprendizado e mudanças. Pensa no funcionário, traz bons benefícios.","Dia a dia muito intenso, muita demanda e altas cobranças para uma entrega perfeita. Nem todos os gestoras são drivados a pessoas.","4,0","Very intense day to day, a lot of demand and high demands for a perfect delivery. Not all managers are people-oriented.","Very large company with many opportunities to learn and change. Think of the employee, it brings good benefits."
36,Empresa de grande porte e conhecida no mercado,Pouco plano de evolução de carreira,"2,0",Little career development plan,Large and well-known company in the market
37,"Empresa oferece muitos benefícios e chance de crescimento. ALém disso é uma ótima fonte de conhecimento. Além da plataforma de estudo corporativo, há muita troca entre os funcionários.","Home office tem muitas reuniões e por vezes o ritmo de trabalho é tão grande que é necessário fazer hora extra. Emoresa elitista onde a maioria é formado em engenharia, economia e cursos mais alto padrão. E praticamente tds são de universidades renomadas. Outro ponto é que há poucos negros e deficientes em cargos de gestão e quando existe são aquelas pessoas ""moreninhas/pardas"" e não negras.","4,0","Home office has many meetings and sometimes the pace of work is so great that it is necessary to work overtime. An elitist emoresa where the majority is graduated in engineering, economics and higher standard courses. And practically all of them are from renowned universities. Another point is that there are few blacks and people with disabilities in management positions and when there are those ""brown/brown"" and non-black people.","Company offers many benefits and opportunity for growth. It is also a great source of knowledge. In addition to the corporate study platform, there is a lot of exchange between employees."
38,Empresa sempre preocupada com o bem estar dos funcionários,No momento não há nada,"5,0",At the moment there is nothing,The company is always concerned about the well-being of its employees.
39,"benefícios, salario, trabalho em equipe, cuidado com o colaborador e etc..",- - - - -,"5,0",- - - - -,"benefits, salary, teamwork, employee care, etc."
40,"Ótimos benefícios, acolhedora e ótimo formato de gestão, muito humanizada",Gestão egocêntrica pensa somente em si,"4,0",Egocentric management thinks only of itself,"Great benefits, welcoming and great management format, very humanized"
41,Cultura Benefícios Horário flexível Valores Missão,Falhas no processo de contratação Estrutura a longo prazo Visão de todas as camadas,"4,0",Gaps in the Hiring Process Long-Term Structure All-Tier View,Culture Benefits Flexible hours Values ​​Mission
42,Ambientes com ótimos colaboradores que ajudam,Pouco desenvolvimento por parte da gestão direta.,"3,0",Little development by direct management.,Environments with great collaborators who help
43,"Cultura saudável, home office, benefícios, PL, orientada à dados.","Pressão, salário abaixo comparado com techs","4,0","Pressure, salary below compared to techs","Healthy culture, home office, benefits, PL, data driven."
44,Ambiente agradável de se trabalhar,Não vivencieis nenhuma experiência ruim,"4,0",Do not experience any bad experience,Pleasant environment to work
45,Um ótimo lugar para ganhar experiência com o público,"As metas são complexas para atingir, porém não é impossível","3,0","Goals are complex to achieve, but not impossible",A great place to gain audience experience
46,"Ambiente de trabalho excelente, bons benefícios, reconhecimento.",Alto grau de exigência nas cadeiras dependendo da diretoria que você atuar.,"4,0",High degree of demand in chairs depending on the board you work for.,"Great work environment, good benefits, recognition."
47,"O ambiente é cativante para o desenvolvimento individual de cada. Aqui vc faz a sua carreira, tendo sempre o apoio da gestão, que irá lhe conduzir e orientar sobre os passos que precisamos dar para alcançar nossos objetivos. Outro incentivo, com certeza é a cesta de benefícios que temos.","Nenhum, a empresa é realmente ótima de se trabalhar.","5,0","None, the company is really great to work for.","The environment is captivating for the individual development of each. Here you make your career, always having the support of management, which will guide you and guide you on the steps we need to take to achieve our goals. Another incentive is certainly the basket of benefits we have."
48,"Equipe engajada e parceira, muita troca e todos seguem a mesma missão.",Não tenho nada a declarar.,"5,0",I have nothing to declare.,"Engaged team and partner, a lot of exchange and everyone follows the same mission."
49,"Ambiente super inclusivo, pessoas que te ouvem e te valorizam.",Possui alguns desalinhamentos estratégicos mesmo com toda política de OKR implantada. Pouca oportunidade de avanço na carreira dependendo da VS.,"5,0",It has some strategic misalignments even with the entire OKR policy in place. Little opportunity for career advancement depending on SV.,"Super inclusive environment, people who listen to you and value you."
50,- Bônus anual - Muitas oportunidades de crescimento - Benefícios excelentes,- Bem Estar e Qualidade de Vida,"4,0",- Wellness and Quality of Life,- Annual bonus - Lots of opportunities for growth - Excellent benefits
51,Empresa incrivel. Se importa muito com as pessoas!!,Falta plano de carreira mais estruturado,"4,0",Lack of more structured career plan,Incredible company. He really cares about people!!
52,"Não tem, pois somos mal tratados","Os coordenadores de venda direta são pessoas despreparadas, os supervisores de campo são humilhados diariamente. Plano de saúde é um dos piores do país e com co participação Vale Refeição de R$400","2,0","Direct sales coordinators are unprepared people, field supervisors are humiliated on a daily basis. Health plan is one of the worst in the country and with co-participation Vale Meal of R$400","No, because we are treated badly"
53,Benefícios Salário Auxílio maternidade Plano d saúde Odontológico,"Demite por tudo, alta taxa de demissão de funcionários, trocar operador por auxiliar...","1,0","Dismiss for everything, high employee dismissal rate, changing operator for assistant...",Benefits Salary Maternity allowance Health plan Dental
54,Muit boa e eu gostei muito de conviver.,Nada a de clarar muito boa.,"5,0",Nothing to clarify very good.,Very good and I enjoyed living together.
55,Bons benefícios e remuneração justa,Muda de estrutura o tempo inteiro,"3,0",Structure changes all the time,Good benefits and fair pay
56,Grupo Boticário é uma empresa incrível em vários sentidos: * Incentivo interno a melhorias e evolução de carreira * Bom salário e benefícios * Muito desafio profissional * Empresa 100% focada na inclusão e bons costumes,Não tenho nada a dizer.,"5,0",I have nothing to say.,Grupo Boticário is an incredible company in several senses: * Internal incentive for improvements and career development * Good salary and benefits * A lot of professional challenge * Company 100% focused on inclusion and good morals
57,Excelente ambiente de trabalho e desafios.,Salário um pouco a baixo do mercado,"5,0",Salary a little below market,Excellent work environment and challenges.
58,Empresa sensacional. Ótimo ambiente de trabalho e colaboração do time!,Nada contra a declarar sobre a empresa,"5,0",Nothing against declaring about the company,Sensational company. Great working environment and team collaboration!
59,"Empresa humana, visa o bem-estar dos colaboradores, clientes, parceiros, fornecedores, como meio para crescer e fazer do mundo um lugar melhor. Há diversos programas de incentivo ao cuidado com a saúde, bem estar, diversidade, equilíbrio entre vida profissional e pessoal. Sempre procuro vagas e indico amigos com frequência, para que venham trabalhar comigo. O trabalho remoto é bem visto na empresa.",Não me recordo no momento.,"5,0",I don't remember at the moment.,"Human company, aims at the well-being of employees, customers, partners, suppliers, as a means to grow and make the world a better place. There are several programs to encourage health care, well-being, diversity, balance between professional and personal life. I always look for vacancies and I refer friends frequently, so that they come to work with me. Remote work is well regarded in the company."
60,Ótima oportunidade de aprendizado e crescimento,"Ótima empresa, nada a declarar","5,0","Great company, nothing to declare",Great learning and growth opportunity
61,Ambiente com muitas oportunidades de crescimento e com muitas pessoas amigáveis.,As vezes os processos são um pouco lentos e muito burocráticos.,"4,0",Sometimes the processes are a little slow and very bureaucratic.,Environment with many opportunities for growth and with many friendly people.
62,"Excelente empresa, ótimos benefícios. Clima bom pra se trabalhar mesmo sendo empresa do varejo",Nada a declarar no momento.,"5,0",Nothing to declare no time.,"Excellent company, great benefits. Good climate to work even though it is a retail company"
63,Benefícios e salário com reconhecimento,"Horários extenso, e algumas lojas poucos funcionários","5,0","Long hours, and some stores have few employees",Recognized benefits and salary
64,Benefícios de convenio médico e odontológico,Carga horária além de 8h em datas de evento; Metas feitas para não bater Troca de vitrine um em cima da outra,"3,0",Workload beyond 8 hours on event dates; Goals made not to hit Showcase swap one on top of the other,Medical and dental insurance benefits
65,"Não há. Empresa feudal, devem urgentemente trocar líderes tóxicos.","Cultura, sem sombra de dúvida.","1,0","Culture, without a doubt.","There is not. Feudal company, must urgently change toxic leaders."
66,Oportunidade Empresa realmente preocupada com pessoas Discurso alinhado com as ações,Imaturidade processual Velocidade de Cruzeiro,"5,0",Procedural immaturity Cruising Speed,Opportunity Company really concerned with people Discourse aligned with actions
67,Cuidado com pessoas. Ambiente agradável.,"Gestores tecnicamente bons, mas com baixo relacionamento interpessoal.","5,0","Technically good managers, but with poor interpersonal skills.",Watch out for people. Pleasant environment.
68,Uma ótima empresa para se trabalhar.,Não vejo pontos negativos para falar da empresa.,"5,0",I don't see any negative points to talk about the company.,A great company to work for.
69,Ótimos benefícios com ótimos ganhos na participação de lucros,"Muita politicagem para crescer, muitos puxa sacos.","4,0","A lot of politics to grow, a lot of kissing ass.",Great benefits with great earnings in profit sharing
70,"Benefícios atraentes, ótimos companheiros de trabalho",Muita informação no treinamento z difícil de absorver,"5,0",Too much information in z training difficult to absorb,"Attractive benefits, great co-workers"
71,Remoto Salário Assistência Médica Vouchers,Liderança nada humanizada. Liderança que age sob ameças para que você evolua.,"1,0",Leadership not humanized. Leadership that acts under threats for you to evolve.,Remote Salary Health Care Vouchers
72,"Trabalho remoto flexível, cultura e ambiente de trabalho saudável.",Salários e benefícios poderiam ser melhores,"4,0",Salary and benefits could be better,"Flexible remote work, culture and healthy work environment."
73,"- Processos extremamente bem organizados - Muita estrutura e orçamento para desenvolver projetos - Times qualificados, experientes e de alto nível intelectual - Marca legal e bem avaliada, trazendo valor pra o currículo","- Processos enrijecidos - Sobrecarga de trabalho - Pouco equilíbrio entre vida pessoal e profissional, pode afetar a saúde mental","3,0","- Rigid processes - Work overload - Poor balance between personal and professional life, can affect mental health","- Extremely well-organized processes - A lot of structure and budget to develop projects - Qualified, experienced and high-intellectual teams - Legal and well-evaluated brand, adding value to the curriculum"
74,"Ambiente bem agradável, muita oportunidade de crescimento.",Ainda não conseguir ver algo como contra.,"5,0",I still can't see anything as a con.,"Very pleasant environment, lots of opportunity for growth."
75,òtimo lugar para trabalhar lá,Não tenho nenhum comentário contra,"5,0",I have no comments against,great place to work there
76,"Muito bom, emprego bom, atencioso!!!","Não houve contras, porém existem algo a melhorar!!!","5,0","There were no cons, but there are things to improve!!!","Very good, good job, attentive!!!"
77,Autonomia Bons comissionamentos Bonus Carro Vale combustível,Não possui Não possui Não possui Não possui,"5,0",Does not have Does not have Does not have Does not have,Autonomy Good commissions Bonus Car Fuel voucher
78,"Benefícios, cultura, plano de carreira, ferramentas, modelo home office",Acredito que não tenha contras!,"5,0",I don't think there are any cons!,"Benefits, culture, career plan, tools, home office model"
79,"Benefícios, fretado, vale alimentação, plano de saúde e PPR.","Gestão de CD tem visão micro da operação, desvios de conduta relatados ao superior, são tratados como ''afronte'', caso queira ser desligada(o), é só relatar desvios de conduta, que rapidamente eles te desligam da empresa.","4,0","DC management has a micro view of the operation, misconduct reported to the superior, they are treated as ''afront'', if you want to be disconnected, just report misconduct, and they quickly disconnect you from the company.","Benefits, charter, meal vouchers, health plan and PPR."
80,"Salário e benefícios, pessoas comprometidas com as essências do Grupo",Não há nada a declarar,"5,0",There is nothing to declare,"Salary and benefits, people committed to the essence of the Group"
81,"É um local que tem muito como aprender, como a área de dados é algo em teoria recente, ainda há muitas coisas que estão sendo estruturadas e o Boticário sempre visa a inovação, sendo assim um ótimo lugar para aprender, além de contar com um time que auxilia em muitos pontos, seja técnico ou pessoal. Sem dúvidas o lugar mais humano que já pisei e sempre recomendo",Ainda não tenho um ponto que seja contra,"5,0",I still don't have a point against it.,"It is a place that has a lot to learn, as the data area is something in recent theory, there are still many things that are being structured and Boticário always aims at innovation, thus being a great place to learn, in addition to having a team that helps in many points, whether technical or personal. Undoubtedly the most humane place I've ever been and I always recommend it"
82,Tem oportunidade pra crescer Ambiente agradável Gestão humanizada,Não tenho contras para a empresa,"5,0",I have no cons for the company,There is opportunity to grow Pleasant environment Humanized management
83,Horário flexível Híbrido Se importa com pessoas e bem estar Remuneração dentro do mercado Plr,"Nada contra, muito boa empresa","5,0","Nothing against it, very good company",Flexible hours Hybrid Cares about people and well-being Compensation within the Plr market
84,"Muitos pontos de destaque, a empresa preza muito pelas pessoas, meio ambiente e impacto na sociedade.",O ponto negativo é que vc nunca mais vai querer sair.,"5,0",The downside is that you'll never want to leave.,"Many highlights, the company values ​​people, the environment and impact on society."
85,Pontualidade no pagamento; PPR Anual; Plano de saúde; Ticket; Cesta de natal; Comissão e premiações;,Favorecia novos funcionário em detrimento aos antigos;,"4,0",Favored new employees over old ones;,Punctuality in payment; Annual PPR; Health insurance; Ticket; Christmas basket; Commission and awards;
86,Bons salários e muitos beneficios.,Empresa muito hierarquica que não procura entender problemas dos funcionários.,"4,0",Very hierarchical company that does not seek to understand employee problems.,Good wages and many benefits.
87,"Ambiente para grande desenvolvimento de carreira, benefícios, equipe integrada, cultura levada à sério",Muitas mudanças o tempo todo,"5,0",Lots of changes all the time,"Environment for great career development, benefits, integrated team, culture taken seriously"
88,oi amigos muito top trabalha no boticário,Comissões que não para área interna,"5,0",Commissions other than for the internal area,"hi friends, very nice, you work at the apothecary"
89,Salario competitivo Cultura bem estruturada,Nada negativo até o momento,"5,0",Nothing negative so far,Competitive salary Well-structured culture
90,"Plano de carreira bem estruturados e claros, benefícios de VA ou VR são acima da média, existem descontos nos produtos para Funcionários.","- Assistência Médica Sul America torna-se inútil fora da grande SP, ninguém atende isso aí; - falta trabalho em equipe em muitos casos, isso causa atritos e baixa qualidade nas entregas.","3,0","- Sul America Medical Assistance becomes useless outside the greater SP, nobody attends to it there; - lack of teamwork in many cases, this causes friction and low quality deliveries.","Well-structured and clear career plan, VA or VR benefits are above average, there are discounts on Employee products."
91,Ambiente incrivel no local de trabalho,Encontros anuais as vezes sao feitos,"5,0",Annual meetings are sometimes held,Incredible workplace environment
92,"Empresa com ambiente muito bom, pessoas se importam umas com as outras. Remuneração boa, benefícios ótimos, muito incentivo a educação",Ciclo de promoções e reajustes salariais apesar de existir não é muito claro.,"5,0","Cycle of promotions and salary adjustments, despite existing, is not very clear.","Company with very good environment, people care about each other. Good pay, great benefits, lots of educational incentives"
93,"estabilidade, tratamento igualitário, condições físicas de trabalho excelentes.",Falta um pouco de maturidade para reconhecer bons funcionários,"5,0",It lacks a bit of maturity to recognize good employees,"stability, equal treatment, excellent physical working conditions."
94,Foco e cuidado com o colaborador,Mesmo com o foco acima excepcionalmente contratam gestores tubarões,"5,0","Even with the focus above, they exceptionally hire shark managers",Focus and care for the employee
95,"Salário bom, colegas bem qualificados, infra estrutura boa para trabalhar remotamente. Benefícios bons.","Excesso de lacração, o que as vezes acaba deixando a meritocracia de lado.","4,0","Excess laceration, which sometimes ends up leaving meritocracy aside.","Good salary, well qualified colleagues, good infrastructure to work remotely. Good benefits."
96,"Ambiente de trabalho, colaboração, organização, salário e benefícios.",Nada de negativo eu tenho pra falar desta empresa.,"5,0",I have nothing negative to say about this company.,"Work environment, collaboration, organization, salary and benefits."
97,"Boas pessoas, flexibilidade para emergências","O funcionário não é reconhecido, não tem plano de cargo, muito desvio de função, favoritismos","2,0","The employee is not recognized, does not have a job plan, a lot of role deviation, favoritism","Good people, flexibility for emergencies"
98,Empresa que ensina muito no desenvolvimento profissional,"Planos de carreira limitados, alguns pontos podem melhorar.","5,0","Limited career paths, some points could be improved.",Company that teaches a lot in professional development
99,"Ótima empresa, com várias oportunidades de crescimento e aprendizagem",Em alguns momentos existe sobrecarga de trabalho,"5,0",Sometimes there is work overload,Great company with lots of opportunities to grow and learn
100,"Sempre pagam em dia, refeitório na empresa, benefícios",Tem cortado muitas coisas como abonos por nível e tempo de empresa,"3,0",It has cut a lot of things like bonuses by level and time with the company,"They always pay on time, company cafeteria, benefits"
101,"Trabalho home office, projeto, ciclo de gente, certificação",Salário fora do que o mercado oferece,"1,0",Salary beyond what the market offers,"Work from home office, project, cycle of people, certification"
102,Uma ótima empresa para trabalhar,Não tenho nada para comentar,"5,0",I have nothing to comment,A great company to work for
103,Benefícios Solidez Marca Compra de produtos da marca mais baratos,"Desorganização Ausência de feedback e acompanhamento por parte da gestora e do RH Comunicação péssima e enganosa. No treinamento, parece uma excelente empresa, mas logo depois, se vê que não.","3,0","Disorganization Lack of feedback and follow-up by the manager and HR Terrible and misleading communication. In training, it looks like an excellent company, but soon after, it turns out that it is not.",Benefits Brand Solidity Buying cheaper branded products
104,"Uma empresa incrível, muito preocupada com o colaborador.",Não consigo pensar em nada negativo.,"5,0",I can't think of anything negative.,"An amazing company, very concerned about the employee."
105,"Cultura muito boa, plano de carreira consistente, ótimos benefícios",Muitas mudanças o tempo todo,"5,0",Lots of changes all the time,"Very good culture, consistent career plan, great benefits"
106,Excelente empresa para trabalhar e chances de crescimento,Não temos nada contra até o momento,"5,0",We have nothing against it so far.,Great company to work for and opportunities for growth
107,"Remoto, bons benefícios e pessoas do bem",Ainda não tenho o que reclamar,"5,0",I still have nothing to complain about,"Remote, good benefits and good people"
108,"Beneficios, empresa com cultura e valores bem consolidados","Hirarquia extrema, nao se toma nenhuma decisão sem a benção de mais de 5 grades, o que resulta em zero autonomia. Cultura é deixada de lado muitas vezes pela liderança.","3,0","Extreme hierarchy, no decision is taken without the blessing of more than 5 grades, which results in zero autonomy. Culture is often overlooked by leadership.","Beneficios, a company with a well-established culture and values"
109,"Tecnologias atuais, equipes unidas, empresa se preocupa com o bem estar do colaborador","Muitos produtos desenvolvidos ao mesmo tempo às vezes sem o devido acompanhamento por vezes acabam gerando alguns projetos sem padrões bem definidos e com manutenção muito custosa. Muito tempo gasto em resolução de problemas, pouca entrega de valor.","5,0","Many products developed at the same time, sometimes without proper follow-up, sometimes end up generating some projects without well-defined standards and with very costly maintenance. Too much time spent on problem solving, too little value delivery.","Current technologies, united teams, the company is concerned with the well-being of the employee"
110,Horário flexível Benefícios Treinamentos Viagens,Baixo salário Demissão sem justificativa Plano de carreira,"4,0",Low salary Dismissal without justification Career plan,Flexible schedule Benefits Training Travel
111,"Excelente ambiente de trabalho, muito criativo, autonomia, clima ótimo e reconhecem o bom funcionário.","Remote first pode ser um problema futuro, pois algumas pessoas estão no híbrido por opção e acabam tendo mais proximidade com a liderança do que quem está distante.","5,0","Remote first could be a problem in the future, as some people are in the hybrid by choice and end up being closer to leadership than those who are distant.","Excellent work environment, very creative, autonomy, great climate and they recognize the good employee."
112,"Cultura, receptividade, conhecimento, flexibilidade e tecnologia",Não tive nenhuma experiência ruim até o momento,"5,0",I haven't had any bad experiences so far.,"Culture, receptivity, knowledge, flexibility and technology"
113,"Benefícios, Home office, Autonomia
Cultura, Reputação, Trabalho remoto","Nada
Empresa muito boa para trabalhar","5,0","Anything
Very good company to work","Benefits, Home office, Autonomy
Culture, Reputation, Remote work"
114,Benefícios de qualidade são prós,Falatd e feedback é um dos motivos que são contras,"5,0",Falatd and feedback is one of the reasons that are cons,Quality benefits are pros
115,Os benefícios e salários são ótimos.,"Zero qualidade de vida por trabalhar de segunda a sábado e praticamente todos os feriados, pessoas nitidamente cansadas .","3,0","Zero quality of life for working from Monday to Saturday and practically all holidays, people clearly tired.",The benefits and wages are great.
116,"Ambiente tranquilo para se estar no dia a dia, liderança ótima, preocupação com colaboradores e sociedade",Cuidar com carga de trabalho e horários,"5,0",Take care of workload and schedules,"Peaceful environment to be in on a daily basis, great leadership, concern for employees and society"
117,"O clima organizacional, incentivos profissionais e financeiros, compatibilidade de remuneração com o mercado, reconhecimento e feedbacks muito assertivos.","Até o presente momento, nada que desabone a empresa.","5,0","So far, nothing that discredits the company.","The organizational climate, professional and financial incentives, compatibility of remuneration with the market, recognition and very assertive feedback."
118,Bom benefícios e excelente remuneração,"sem contras, uma boa empresa!","5,0","no cons, a good company!",Good benefits and excellent pay
119,"Stack de tecnologia atual, autonomia, oportunidade de crescimento",Nada de contra a declarar,"5,0",Nothing against declaring,"Current technology stack, autonomy, growth opportunity"
120,"Boa remuneração, tecnologia de ponta, autonomia, full home office",Nada a declarar contra a empresa,"5,0",Nothing to declare against the company,"Good pay, state-of-the-art technology, autonomy, full home office"
121,"Benefícios bastante atraente, boa refeição.","Jornada de trabalho (turno), crescimento profissional e salário.","4,0","Working hours (shift), professional growth and salary.","Benefits quite attractive, good meal."
122,Benefícios atrativos. Possibilidade de Home Office.,Empresa com hierarquia muito forte. Difícil ter autonomia.,"4,0",Company with very strong hierarchy. Difficult to have autonomy.,Attractive benefits. Possibility of Home Office.
123,"Cultura forte, ambiente bom de trabalho, times bons e colaborativos",Falta de clareza nas promoções e bonificações,"5,0",Lack of clarity in promotions and bonuses,"Strong culture, good work environment, good and collaborative teams"
124,"Empresa maravilhosa
Ótimos 
Benefícios 
Lugar 
Aconchegante",Nada de pros empresa a melhor a se trabalha,"5,0",No pros the best company to work for,"wonderful company
great
Benefits
Place
Cozy"
