,pros,contras,rates,contras_en,pros_en
19,"Salário, horário, cargo, proximidade e","carga excessiva, atrasos dos benefícios","3,0","excessive burden, delays in benefits","Salary, hours, position, proximity and"
20,ambiente legal e confortável acolhedor,"Empresa nn paga salário no dia certo, o setor pela qual fui escolhida para atuar era mal organizado e ainda quando fui mandada embora nn me pagaram.","5,0","Company doesn't pay salary on the right day, the sector I was chosen to work for was poorly organized and even when I was sent away they didn't pay me.",cool and comfortable cozy environment
21,"Amigos, conforto, liberdade, amizades e produtividade","Horário, salário, comida, atender e local","2,0","Hours, salary, food, service and location","Friends, comfort, freedom, friendships and productivity"
22,Ambiente amigável Oportunidades Dinamismo Sem pressão Presa pelo colaborador,Vale Alimentação Vale Refeição Benéficos Tempo Qualidade pausa,"5,0",Food voucher Meal voucher Benefits Time Quality break,Friendly environment Opportunities Dynamism No pressure Trapped by the employee
23,"O horário, pois era bem flexível","Atrasava muito o salário, não tinha suporte nenhum","1,0","Salary was very late, there was no support",The hours were very flexible
24,"Salário em dia, bom adicional",Gestores que só pensam em si.,"4,0",Managers who only think about themselves.,"Salary on time, with additional"
25,"Horários flexíveis, não exige experiência.","Pausa muito curta, trabalho exaustivo.","3,0","Very short break, exhausting work.","Flexible hours, no experience required."
26,Você conhece ótimas pessoas lá,Você e seu trabalho não é muito valorizado pela empresa,"3,0",You and your work are not highly valued by the company,You meet great people there
27,"Tecnologia, ambiente acolhedor, flexibilidade horário",Comunicação ineficaz entre operadores e liderança,"3,0",Ineffective communication between operators and leadership,"Technology, welcoming environment, flexible hours"
28,Adquiri experiência e ganha conhecimento,Está com problemas judiciais e financeiros.,"4,0",He has legal and financial problems.,Gain experience and gain knowledge
29,Muitos desafios e desenvolvimento profissional,- Salário abaixo do mercado - Desvio de função - Falta de ferramentas de trabalho - Demandas em excesso -,"1,0",- Salary below the market - Function deviation - Lack of work tools - Excessive demands -,Many challenges and professional development
30,A empresa é muito aberta pra fazer contratação,a empresa mau consegue pagar os funcionários e ainda contrata mais gente,"2,0",the company is barely able to pay the employees and still hires more people,The company is very open to hiring
31,Um ambiente saudável para trabalhar,Não tenho do período que passei lá o que falar,"5,0",I don't have anything to say about the time I spent there.,A healthy environment to work
32,"Nenhum, péssima empresa para se trabalhar",Não paga em dia e deve os benefícios aos funcionários,"1,0",Does not pay on time and owes benefits to employees,"None, terrible company to work for"
33,"Novamente, tive contato mais uma vez, dado a minha facilidade em atendimento tanto presencial como por telefone, com o setor de telemarketing, onde básicamente efetuei as mesmas competências do atendimento padrão como na AeC acima citada. Consegui aqui refinar ainda mais, de forma geral, o atendimento ao cliente,","Houve um período de demissão em massa, onde vários foram demitidos.","5,0","There was a period of mass layoffs, where several were laid off.","Again, I had contact once again, given my ease in providing both face-to-face and telephone assistance, with the telemarketing sector, where I basically carried out the same skills of standard service as in the aforementioned AeC. I was able to further refine customer service in general,"
34,"Bom salário, VR e VT.",Trabalha finais de semana e feriados.,"4,0",Works weekends and holidays.,"Good salary, VR and VT."
35,"Péssima para pagar, sem compromisso com os funcionários","Sem apoio, salários atrasados, sem compromisso","1,0","No support, late salaries, no commitment","Terrible to pay, no commitment to employees"
36,"Boa empresa, paga no prazo, horario bom","poucos beneficios, gestão mal executada","3,0","few benefits, poor management","Good company, pays on time, good hours"
37,Equipe comprometida com os desafios diários,"Os benéficos não são atrativos, principalmente o vale refeição, muito baixo para o preço médio das refeições na localidade.","5,0","The benefits are not attractive, especially the meal ticket, which is very low compared to the average price of meals in the area.",Team committed to daily challenges
38,"Modalidade home office, meio periodo","Empresa falida, sem estrutura e sem oportunidade de crescimento","1,0","Bankrupt company, no structure and no opportunity for growth","Home office modality, part-time"
39,"Ela prepara bem pra o mercado de trabalho, devido às experiências passadas",Pagar os seus funcionários corretamente e em dias correto,"3,0",Pay your employees correctly and on time,"She prepares well for the job market, due to past experiences"
40,A empresa esta se estruturando e isso nos da esperança de dias melhores,Apesar da nova estrutura ainda temos a inseguraça por conta do processo de reuperação Judicial,"4,0","Despite the new structure, we still have insecurity due to the judicial recovery process",The company is structuring itself and this gives us hope for better days
41,Estão dando muitas oportunidades de emprego!,Fazer o pagamento na data certa,"5,0",Make payment on time,They are giving many job opportunities!
42,Não foi identificado nenhum ponto positivo.,"Péssima empresa, não valoriza os colaboradores, sempre fez o pago de salário e benefícios atrasados. Além de ter superiores desqualificados para exercer os cargos que ocupam.","1,0","Terrible company, does not value employees, always paid late salary and benefits. In addition to having superiors disqualified to exercise the positions they occupy.",No positive points were identified.
43,"Como primeiro emprego é uma boa oportunidade, isso se você desejar ficar pouco tempo na empresa","Remuneração baixa, cobrança excessiva por resultados, plano de carreira apenas na teoria, pois na prática não existe","1,0","Low pay, excessive demand for results, career plan only in theory, because in practice it does not exist","As a first job it is a good opportunity, if you want to stay in the company for a short time"
44,"Benefícios: Vale Alimentação, Vale Refeição, e Vale Transporte",Pressão no local de trabalho.,"5,0",Pressure in the workplace.,"Benefits: Food Voucher, Meal Voucher, and Transportation Voucher"
45,Pessoas com espirito de equipe,"Não pagam o salario na data programada, chegando a atrasar até 1 mês. E a recisão mesmo assinando carta de próprio punho não pagam e não ligam para o funcionario que colaborou com a empresa por anos.","1,0","They do not pay the salary on the scheduled date, delaying it for up to 1 month. And the termination, even signing a letter in your own hand, does not pay and does not call the employee who collaborated with the company for years.",People with team spirit
46,Trabbalho de meio período por 1 salário minimo,"Atraso de salário, desrespeito, incompetência","1,0","Late salary, disrespect, incompetence",Part-time job for 1 minimum wage
47,Slario baixo supervisores horriveis coordenação ruim,Remuneração Bai xa auto estima elevada,"2,0",Low remuneration high self esteem,Low pay horrible supervisors bad coordination
48,"o horário muito flexível, auxílio creche muito bom. e tem planos de carreiras descontos em faculdade e outros locais academia e etc..","muitos clientes insatisfeitos com o produto,pq o atendimento é bom.","5,0","many dissatisfied customers with the product, because the service is good.","very flexible schedule, very good daycare assistance. and it has career plans, discounts at college and other places, academy and etc.."
49,"Home office, liberdade criativa, confiança","Vale alimentação baixíssimo, plano de saúde caro, sem investimento em equipamentos ou tecnologias","3,0","Very low food vouchers, expensive health plan, no investment in equipment or technologies","Home office, creative freedom, confidence"
50,Pessoas que conheci por lá,"Descaso com funcionários, atraso de VR, atraso de salário, localização perigosa no Brás.","1,0","Negligence with employees, VR delay, salary delay, dangerous location in Brás.",People I met there
51,"flexibilidade de horário, pessoas boas para trabalhar","Não tem vale alimentação, atraso de salário,","3,0","There is no food allowance, salary arrears,","flexible hours, good people to work with"
52,Salário em dia e passagem tbm,Não paga fgts e bem inss,"3,0",Doesn't pay fgts and well inss,Salary on time and ticket too
53,Horário flexivel para quem quer conciliar estudo com o trabalho.,"Incentivo, motivação para o crescimento da empresa e pessoal.","5,0","Incentive, motivation for company and personal growth.",Flexible hours for those who want to combine study with work.
54,"Grande Oportunidade, Parceria, Crescimento Profissional.","Mudanças de estrutura, mudanças de planos, mudanças da companhia","5,0","Structure changes, plan changes, company changes","Great Opportunity, Partnership, Professional Growth."
55,dinâmica boa carga horária bom atendimento,tempo de descanso muito pouco,"3,0",very little rest time,dynamic good workload good service
56,Era uma empresa leve sem muitas pressões desde que seguisse os termos.,"Muitas mudanças sem explicação após a restruturação, perda de produtos e etc","3,0","Lots of unexplained changes after restructuring, loss of products, etc.",It was a light company without a lot of pressure as long as you followed the terms.
57,"Adorei trabalhar lá, me fez crescer muifo","Muita fofoca e falsidade, mas faz parte.","5,0","Lots of gossip and falsehood, but it's part of it.","I loved working there, it made me grow a lot"
58,Não consigo ver muitos prós na empresa.,Não valoriza em nada os funcionários,"2,0",Doesn't value employees at all,I can't see many pros in the company.
59,Você está trabalhando e ter um salário todo mês.,"Atrasa o salário, desvalorização do funcionário, cobrança excessiva.","3,0","Delays salary, employee devaluation, overcharging.",You are working and having a salary every month.
60,Boa experiencia como primeiro emprego.,"Salario minimo, salario, salario, salario, salario","3,0","Minimum wage, wage, wage, wage, wage",Good experience as a first job.
61,Amizade Amizade Amizade Amizade Amizade,Tudo Tudo Tudo Tudo Tudo,"1,0",Everything Everything Everything Everything,friendship friendship friendship friendship friendship
62,As pessoas que fazemos amizade.,"atraso de pagamentos, sobrecarga, meio de trabalho caótico.","3,0","Late payments, overload, chaotic work environment.",The people we befriend.
63,"Horario para estudo, principalmente para quem quer cursar algo","Muito casativo, computadores lentos e demorados","4,0","Very boring, slow and time-consuming computers","Schedule for study, especially for those who want to study something"
64,A emprese ficava bem localizada,"Houve um período em que atendia ligações da hora que eu chegava até a hora de ir embora, enquanto meus colegas atendiam no máximo duas ligações no dia, atendia no setor de cancelamento, então era super estressante, ainda mais porque saia de uma ligação e já entrava em outra, enquanto os demais conversavam. Fora que haviam metas absurdas para bonificação, que eram impossíveis de atingir sendo uma pessoa honesta.","1,0","There was a period when I answered calls from the time I arrived until it was time to leave, while my colleagues answered a maximum of two calls a day, I answered in the cancellation sector, so it was super stressful, even more so because I left a call and went into another, while the others talked. Besides, there were absurd targets for bonuses, which were impossible to achieve as an honest person.",The company is well located
65,"Melhor empresa, valoriza funcionário, pontual em suas responsabilidades.","Fechou no melhor momento, poderia continuar com o atendimento em bh","5,0","It closed at the best time, could continue with the service in bh","Best company, values ​​employees, punctual in their responsibilities."
66,Vários produtos para trabalhar bastante chances de crescer,"Falta de cuidado com os funcionários, falta de gestão em geral","3,0","Lack of care for employees, lack of management in general",Lots of products to work with plenty of chances to grow
67,"Comissão, horário, ambiente, estrutura, dia",Não valorização dos funcionários .,"3,0",Non-appreciation of employees.,"Commission, schedule, environment, structure, day"
68,"Bons supervisores, veteranos ajudam bastante com os problemas quando podem.","o treinamento e muito fraco, você utiliza no dia a dia em torno de 10 ferramentas e no treinamento você só utiliza uma e quando chega na área real você fica perdido, procedimentos que mudam de um dia para o outro sem instruções.","3,0","the training is very weak, you use around 10 tools on a daily basis and in the training you only use one and when you get to the real area you get lost, procedures that change from one day to the next without instructions.","Good supervisors, veterans help a lot with problems when they can."
69,"Os prós só vem do produto, o RH estava desorganizado durante a possivel falencia, e houve muitos atrasos, mas agora esta pagando tudo certinho.","No momento, nada a declarar","3,0","No time, nothing to declare","The pros only come from the product, HR was disorganized during the possible bankruptcy, and there were many delays, but now it's paying everything correctly."
70,"Vr, vt e plano de saúde",Nenhum de acordo com a minha experiência,"4,0",None according to my experience,"Vr, vt and health plan"
71,Pouca carga horária de trabalho,Abuso psicológico Salario baixo Nenhun respeito pelo funcionário,"1,0",Psychological abuse Low salary No respect for the employee,Little workload
72,"Salário em dia, benefícios, convênio...","Salário muito baixo, não temos oportunidade de crescimento, supervisores levam tudo para o pessoal não são profissionais e não somos ouvidos.","3,0","Very low salary, we have no opportunity for growth, supervisors take everything to the staff, they are not professionals and we are not listened to.","Salary on time, benefits, contract..."
73,"oportunidade de primeiro emprego, experiência profissional","salario atrasado, estresse, má administração","1,0","Late salary, stress, poor management","first job opportunity, professional experience"
74,não tem prós para a empresa,Pior empresa para se trabalhar,"1,0",Worst company to work for,no pros for the company
75,Apenas 6 horas e 20 de trabalho,Está em recuperação judicial então não pagava nada dos nossos direitos,"2,0",It's in judicial recovery so we didn't pay any of our rights,Only 6 hours and 20 of work
76,"horario curto, carga horaria de 6 horas",pressão na cabeca dos colaboradores,"2,0",pressure on employees,"short hours, 6 hour workload"
77,"Bons funcionários, bom ambiente, pessoas de bom coração ao redor.","Atraso de salários, corte inesperado de benefícios e falta de comunicação com os funcionários.","5,0","Salary delays, unexpected benefit cuts and lack of communication with employees.","Good employees, good environment, good hearted people all around."
78,Carga horária é ótima para operadores,"Não pagam salário, rescisão, passagem, alimentação","1,0","They do not pay salary, termination, ticket, food",Hours are great for operators
79,Nenhum nada nadinha péssima empresa,Tudoo de contra a empresa,"1,0",Everything against the company,None nothing nothing bad company
80,O periodo possibilita estudar para faculdade ou outras atividades,A politica engessada e a forma de trabalhar faz com o que os atendentes sejam tratados como subclasse para os clientes,"1,0",The plastered policy and way of working means that the attendants are treated as a subclass for the customers,The period allows studying for college or other activities
81,"Empresa com uma diversidade de pessoas, na sua maioria legais e acolhedoras.","Empresa com uma péssima gestão de qualidade (Especificamente em João Pessoa) na qual não valoriza ou repassar informações ao Colaborador(a) inclusive até para realizar o desligamento. Empresa paga um salário razoável. VA/VR é muito pouco, em media 300,00 a 400,00 reais e não segue com a inflação atual do País. Estrutura do local da empresa é bem comprometida.","2,0","Company with a bad quality management (Specifically in João Pessoa) in which it does not value or pass on information to the Employee, even to perform the dismissal. Company pays a reasonable salary. VA/VR is very little, on average 300.00 to 400.00 reais and does not follow the current inflation in the country. Structure of the company's site is well compromised.","Company with a diversity of people, mostly nice and welcoming."
82,"Horários flexíveis, ótimo pra quem estuda.",Superiores fazem várias cobranças excessivas e já vi alguns colegas que adquiriram danos psicológicos na Empresa.,"4,0",Superiors make excessive demands and I've seen some colleagues who acquired psychological damage in the Company.,"Flexible hours, great for students."
83,Obtive diversas oportunidades de crescimento e desenvolvimento profissional junto a empresa.,"A empresa poderia ser mais transparente com seus empregados, assim evitaria muitas situações.","3,0","The company could be more transparent with its employees, thus avoiding many situations.",I had several opportunities for growth and professional development with the company.
84,Ótima para quem quer estudar.,"Com o trabalho repetitivo se trata de algo bem cansativo, mas nada demais.","4,0","With the repetitive work it is something quite tiring, but nothing too much.",Great for those who want to study.
85,Ramo de Home Center é bem tranquilo. Trabalha bastante,Salário baixo pelo esforço físico excessivo.,"3,0",Low salary due to excessive physical exertion.,Home Center branch is very quiet. works hard
86,Diversidade de gente e oportunidade para primeiro emprego.,Instabilidade de pagamento com diversos atrasos de salários e benefícios. Líderes que são abusivos e gigantesco estresse psicológico.,"2,0",Instability of payment with several delays in wages and benefits. Leaders who are abusive and massive psychological stress.,Diversity of people and opportunity for first job.
87,crescimento rápido conforme seu comprometimento,"muita desorganização, falta de processos bem amarrados, gente qualificada.","3,0","a lot of disorganization, lack of well-linked processes, qualified people.",Fast growth based on your commitment
88,Oferece oportunidade para quem não tem experiencia. Treinamento remunerado A empresa que fica localizada no Brás é perto da estação,"Alguns equipamento de trabalho (ex computadores, headset etc) não funciona bem Comunicação com o RH só pelo telefone dentro da empresa localizado na recepção Oportunidade de crescendo é difícil, pouquíssimas oportunidades e você não consegue receber um retorno se não for através do supervisor","3,0","Some work equipment (eg computers, headset etc) does not work well Communication with HR only by telephone within the company located at the reception Opportunity to grow is difficult, very few opportunities and you cannot receive a return if it is not through the supervisor",It offers opportunity for those who have no experience. Paid training The company located in Brás is close to the station
89,Da oportunidade para primeiro emprego,Não tem empatia com o funcionário,"3,0",No empathy with the employee,Opportunity for first job
90,"Não existe, empresa em déficit de tudo",Todos os possíveis. Empresa horrível,"1,0",All possible. horrible company,"Does not exist, company in deficit of everything"
91,Empresa com plano de carreira,"Em recuperação judicial, poucos benefícios","1,0","In judicial recovery, few benefits",Company with career plan
92,Oportunidade. Valorização da Diversidade. Conhecimento. Carreira,Discrepância salariais para mesmo cargo. Cobrança excessiva. Atraso de salários.,"3,0",Salary discrepancy for the same job. Excessive charge. Salary arrears.,Opportunity. Valuing Diversity. Knowledge. Career
93,"Mesmo em recuperação judicial, a empresa ajustou os valor de ticket, e salários em dia.",Empresa em recuperação podendo entrar em falência a qualquer momento.,"1,0",Company in recovery and may go bankrupt at any time.,"Even in judicial recovery, the company adjusted the ticket value, and salaries on time."
94,"Estava pagando em dia, tinha metas boas.","Não atrasar o pagamento dos funcionários, nem a passagem, não descontar toda comissão por um atestado médico, acho totalmente injusto a pessoa fazer venda o mês todo, se precisar entregar um atestado um dia, perde toda comissão.","3,0","Do not delay the payment of employees, or the ticket, do not deduct all commission for a medical certificate, I think it is totally unfair for a person to sell all month, if he needs to deliver a certificate one day, he loses all commission.","I was paying on time, had good goals."
95,Boa remuneração horário bom equipe seria,Nada reclamar da empresa no meu ponto de vista.,"5,0",Nothing to complain about the company in my point of view.,good pay good hours team would be
96,Home office durante toda a pandemia,Grande atraso no salário constantemente,"1,0",Big delay in salary constantly,Home office throughout the pandemic
97,"oportunidade de emprego, experiência, aprendiagem, depositava valor de deslocamento e cesta basica","depositava 10 centavos no FGTS, atrasava salário, desroganizado","2,0","deposited 10 cents in the FGTS, delayed salary, disorganized","employment opportunity, experience, learning, deposit value for travel and basic food basket"
98,Local bem centralizado Próximo ao metro,Atrasa o salário O local de trabalho é horrível Pouco espaço para o almoço RH muito devagar,"1,0",Late pay Workplace is horrible Little room for lunch HR too slow,Well centralized location Close to the metro
99,Oportunidade de primeiro emprego sem experiência,"Atraso de salário Pouco benefícios Não paga os direitos trabalhistas corretamente Ao ser demitido, demora muito tempo pra pagar os direitos Não preza pelos funcionários.","2,0","Late salary Little benefits Does not pay labor rights correctly When fired, it takes a long time to pay the rights Does not value employees.",First job opportunity with no experience
100,Nenhum tudo e horrível equipamentos travando e quebrados,Todos a gestão e péssima e são pessoas completamente despreparadas,"1,0",All the management is terrible and they are completely unprepared people,None all and horrible equipment crashing and broken
101,Horário flexível e bônus por cliente,Sem abertura para crescimento dentro da empresa,"5,0",No room for growth within the company,Flexible schedule and customer bonus
102,"Pega sem experiência, e tem uma alta rotatividade de vagas, e tamanho possui um bom treinamento.","Inflexível com horários, e funcionários são apenas números.","4,0","Inflexible with schedules, and employees are just numbers.","Takes without experience, and has a high turnover of vacancies, and size has good training."
103,Você tem chance de crescer na empresa,Colocar mais faxineiros na empresa,"5,0",Put more cleaners in the company,You have a chance to grow within the company.
104,"não tem, nenhum pró, só com os colegas de trabalho","ambiente toxico, gerencia nada profissional e o rh está mais pra te prejudicar do que para ajudar","1,0","toxic environment, unprofessional management and the HR is more to harm you than to help","no, no pros, only co-workers"
105,Experiência aprendizado atendimento callcenter telemarketing,Salário benefício gestão atrasa tudo,"1,0",Salary benefit management delays everything,Experience learning call center telemarketing
106,De bem nada só atrasando o lado dos funcionários,"Poderia paga as pessoas certinho , tanto salário , comissão vale transporte e ticket alimentação e refeição","3,0","I could pay people correctly , both salary , commission , transportation allowance and food and meal ticket","No good, just delaying the employees' side"
107,Empresa com boa oportunidade de crescimento,Média salárial baixa mas vale a experiência,"4,0",Low average salary but worth the experience,Company with good growth opportunity
108,Oportunidade de entrada na área de promoção para adquirir experiência para futuras contratações,Problemas com pagamentos de vale transporte e alimentação,"2,0",Problems with transportation and food voucher payments,Opportunity to enter the promotion area to gain experience for future hires
109,Boa ótimo exemplo excelente recepção,Boa ótimo exemplo excelente bom,"2,0",good great example excellent good,Good great example excellent reception
110,"Produto bom, equipe unida e o horário era bom e o local de trabalho",Falta de comprometimento com pagamento,"4,0",Lack of commitment to payment,"Good product, united team and the hours were good and the place of work"
111,A oportunidade de fazer parte do time,Ter acabado o produto na qual trabalhava.,"5,0",Having finished the product on which he worked.,The opportunity to be part of the team
112,bom para quem esta comecando a carreira,pessimos beneficios pessima localizacao salario abaixo do mercado,"1,0",bad benefits bad location salary below market,good for those starting their career
113,Não tenho nenhum prós não gosto da empresa,Vários acho que não tem nenhum ponto positivo só negativo nessa empresa,"1,0",Several I think there is no positive point only negative in this company,I don't have any pros I don't like the company
114,Facilidade de entrada na empresa.,"Pouca oportunidade de crescimento, problemas quanto a pagamentos.","2,0","Little opportunity for growth, problems with payments.",Ease of entry into the company.
115,Carga horária flexível que dar pra conciliar,"Atraso de salário, atraso de benefícios, metas absurdas","3,0","Late salary, delayed benefits, absurd goals",Flexible workload to reconcile
116,Ambiente ótimo para trabalhar e isso!,Não ter atraso no salário,"5,0",No salary arrears,Great environment to work and that!
117,"Flexibilidade de horário, autonomia, clima, capacitação dos funcionários, suporte das áreas fica a desejar,","Baixo salário
Liderança ausente
processos internos
plano de carreira
não cumpre o acordado","3,0","Low salary
absent leadership
internal processes
career path
does not comply with the agreement","Flexibility of hours, autonomy, climate, training of employees, support of the areas is to be desired,"
118,"bom salario, auxilio, bom treinamento",dificuldade de comunicação assertiva no desligamento,"3,0",difficulty with assertive communication on disconnection,"good salary, help, good training"
119,Paga conforme média salarial regional,Paga no 5º dia útil,"4,0",Pay on the 5th business day,Pay according to regional average salary
120,não existe nada de bom nessa empresa,"todos possíveis, empresa ruim do caramba","1,0","all possible, bad company as hell",there is nothing good about this company
121,Carga horária de 6 horas,"POUCOS BENEFÍCIOS, BAIXA VALORIZAÇÃO DE FUNCIONÁRIOS, MUITA PRESSÃO","2,0","FEW BENEFITS, LOW VALUATION OF EMPLOYEES, A LOT OF PRESSURE",6 hour workload
122,Muito boa em dar oportunidades para jovens e velhos,"Muita pressão, mas é de alguns chefes","4,0","A lot of pressure, but it's from some bosses",Very good at giving opportunities to young and old
123,Bom horário e eu tinha um carro por conta da empresa P&G que tinha um contrato com eles da LIQ porém eles não conseguiam administrar,atrasava vt e va que infelizmente não dá pra trabalhar sem gasolina né,"3,0","delay vt and go that unfortunately you can't work without gas, right",Good hours and I had a car on behalf of the P&G company that had a contract with them from LIQ but they could not manage
124,Pagamentos estão em dias e a empresa está muito bom,7 anos lá e não tive oportunidade de promoção,"5,0",7 years there and I had no opportunity for promotion,Payments are in days and the company is very good
125,Para primeira experiência e ótimo você aprende a dar valor ao dinheiro ganho com muito esforço.,Atraso no salário pressão para enxugar gelo.,"1,0",Salary delay pressure to dry ice.,For first experience and great you learn to value hard earned money.
126,Parceria em algumas representações com grandes empresas.,"Repasse de valores e benefícios insuficientes, para a cobrança e demanda de objetivos a serem atingidos.","1,0","Transfer of insufficient amounts and benefits, for the collection and demand of objectives to be achieved.",Partnership in some representations with large companies.
127,"Jornada de 6h20, há muitas ofertas de vagas.","Empresa desumana. Gestores despreparados, salário pago com atraso, desorganização, falta de treinamentos descentes, entre outros...","2,0","Inhuman company. Unprepared managers, salary paid late, disorganization, lack of decent training, among others...","6:20 am journey, there are many offers of vacancies."
128,"Excelente empresa, ótimo turno e salário","Nenhuma, nenhuma nenhuma nenhuma nenhuma","5,0","None, none none none none","Great company, great shift and salary"
129,"Amei trabalhar lá , voltaria a trabalhar.","Gostava de tudo lá, foi incrível","5,0","I liked everything there, it was amazing","Loved working there, would work again."
130,"Jornada de trabalho flexível, trabalhando apenas 6:20 é bom para fazer outras coisas","Atrasada salário, atrasa passagem, não tem transparência com os colaboradores e deixa a permanência de gestão abusiva.","1,0","Delayed salary, delays passage, lacks transparency with employees and leaves the permanence of abusive management.","Flexible workday, working only 6:20 is good for doing other things"
131,"Os principais motivos de trabalhar na empresa Liq ,a carga é de 6:20hs tem benefícios e pagar um salário",Os pontos negativos é que os gestores poderia melhorar mais em comunicação. E também a área financeira poderia está em dias com seu funcionário,"3,0",The bad points is that the managers could improve more in communication. And also the financial area could be on days with its employee,"The main reasons for working at Liq , the load is 6:20hs has benefits and pay a salary"
132,"Pagamento em dia.
Muito boa 
Da oportunidades
Chefe muito prestativo","Matriz só em Minas, trabalho ficava muito restrito só lá ou são Paulo","5,0","Headquarters only in Minas, work was very restricted only there or São Paulo","Payment on day.
very good
of opportunities
very helpful boss"
133,Os gestores não sabem trabalhar se acham donos da empresa,"Não pagam bem, tem descontos absurdos além do tratamento lamentável que os gestores têm com os operadores","1,0","They don't pay well, they have absurd discounts in addition to the deplorable treatment that managers have with operators",Managers don't know how to work if they think they own the company
134,"Empresa de costumer experience, que atua em varios seguimentos como CRM, TI e serviços e proporciona aos seus  colaboradores crescimento profissional.",Entrou em recuperação judicial. Torço pela sua recuperação.,"4,0",It went into judicial recovery. I pray for your recovery.,"Customer experience company, which operates in various segments such as CRM, IT and services and provides its employees with professional growth."
135,Equipe ótima com bons profissionais.,"Atrasos no pagamento, VR, VT, verbas rescisórias.","1,0","Delays in payment, VR, VT, severance pay.",Great team with good professionals.
136,"Pessoas engajadas, oportunidades internas de crescimento",Dificuldades financeiras da empresa refletindo na satisfação dos colaboradores,"4,0",Financial difficulties of the company reflecting on employee satisfaction,"Engaged people, internal growth opportunities"
